"1001745.3"	"STREPTOCOCCUS PNEUMONIAE 07AR0125"	"STREPTOCOCCUS PNEUMONIAE 07AR0125"	1001745	"WGS"	"07AR0125"	"SEROTYPE 6C"			"MLST.STREPTOCOCCUS_PNEUMONIAE.1292"				"2011-04-11T00:00:00Z"	"21551297"	"PRJNA64979"	"SAMN02472135"	"GCA_000203715.2"		"AFBY00000000"	"-"	"YALE UNIVERSITY"	"ASSEMBLY"	"SOLEXA PAIRED-END SEQUENCING"	">30X"	"VELVET V. 0.7"			346	2024028	39.6	2008			"BLOOD SAMPLE FROM A PATIENT WITH MENINGITIS."	"BLOOD SAMPLE FROM A PATIENT WITH MENINGITIS."		"UNITED STATES"	"USA: MASSACHUSETTS"						"HUMAN, HOMO SAPIENS"														"-"			"HOST"	"MENINGITIS"	"PROJECT DESCRIPTION NOT PROVIDED."		98.6	97.9	96.4	0.3		"GOOD"	"2014-12-08T22:13:32.681Z"	"2015-03-16T03:17:09.594Z"
"1280.7189"	"STAPHYLOCOCCUS AUREUS STRAIN 1680"		1280	"WGS"	"1680"				"MLST.STAPHYLOCOCCUS_AUREUS.247"				"2016-04-18T00:00:00Z"		"PRJNA264198"	"SAMN03120277"	"GCF_001623025.1"		"JTKN00000000"		"DEPARTMENT OF TECHNOLOGY, METROPOLITAN UNIVERSITY COLLEGE (COPENHAGEN, DENMARK)"		"ILLUMINA MISEQ"	"20.0X"	"CLC NGS CELL V. 7.5.1"			38	2947560	32.71	3004	2986		"BLOOD"		1963	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"			"BACTERAEMIA"																"TN5801-LIKE TRANSPOSONS CARRYING TET(M) ARE FOUND IN GRAM POSITIVE BACTERIA FROM HUMAN AND DIFFERENT ANIMALS STRAINS: 1680, 98-41787-1, 98-41998-1, 2001-08299-1, CICYT-205"	"COLLECTED_BY:STATENS SERUM INSTITUTE, DENMARK"	100	100	100			"GOOD"	"2016-04-28T12:54:26.811Z"	"2016-04-28T12:54:26.811Z"	
"1280.7242"	"STAPHYLOCOCCUS AUREUS STRAIN ZJ5499"		1280	"COMPLETE"	"ZJ5499"				"MLST.STAPHYLOCOCCUS_AUREUS.5"				"2016-05-09T00:00:00Z"		"PRJNA285271"	"SAMN03742530"	"GCF_001640885.1"		"CP011685"	"NZ_CP011685.1"	"THE FIRST AFFILIATED HOSPITAL OF COLLEGE OF MEDICINE, ZHEJIANG UNIVERSITY"		"ILLUMINA"	"358X"	"VELVET V. 1.2.10"	1		1	2848095	32.84	2800	2775		"BLOOD"		2010	"CHINA"	"CHINA"						"HUMAN, HOMO SAPIENS"			"PULMONARY INFECTION"											"C"					"DRUG RESISTANCE"	"COLLECTED_BY:THE FIRST AFFILIATED HOSPITAL OF COLLEGE OF MEDICINE, ZHEJIANG UNIVERSITY"	100	99.9	100	0.6		"GOOD"	"2016-05-23T22:01:13.906Z"	"2016-05-23T22:01:13.906Z"	
"1280.7243"	"STAPHYLOCOCCUS AUREUS STRAIN NCCP14558"		1280	"COMPLETE"	"NCCP14558"				"MLST.STAPHYLOCOCCUS_AUREUS.5"				"2016-05-09T00:00:00Z"		"PRJNA300829"	"SAMN04219574"	"GCF_001640905.1"	"SRR2917855"	"CP013953,CP013954"	"NZ_CP013953.1,NZ_CP013954.1"	"CATHOLIC UNIVERSITY OF KOREA"		"PACBIO RS II"	"21-22X"	"SMRT V. 2.3.0; HGAP V. 2"	1	1	2	2979876	32.92	2996	2964		"BLOOD"		2013	"SOUTH KOREA"	"KOREA: CHEONJU"						"HUMAN, HOMO SAPIENS"			"BACTEREMIA"											"C"					"WE ANALYZED GENOME SEQUENCE OF VANCOMYCIN-INTERMEDIATE STAPHYLOCOCCUS AUREUS TO FIND ANTIBIOTIC RESISTANCE GENE USING PACBIO SMRT SEQUENCING."	"COLLECTED_BY:KOREAN NATIONAL CULTURE COLLECTION OF PATHOGEN"	100	99.3	100			"GOOD"	"2016-05-23T22:03:02.506Z"	"2016-05-23T22:03:02.506Z"	
"1280.7244"	"STAPHYLOCOCCUS AUREUS STRAIN NCCP14562"		1280	"COMPLETE"	"SEQUENCING"				"MLST.STAPHYLOCOCCUS_AUREUS.5"				"2016-05-09T00:00:00Z"		"PRJNA300829"	"SAMN03955396"	"GCF_001640925.1"	"SRR2917853,SRR2954729,SRR3089573"	"CP013955,CP013956"	"NZ_CP013955.1,NZ_CP013956.1"	"CATHOLIC UNIVERSITY OF KOREA"		"PACBIO RS II"	"21-22X"	"SMRT V. 2.3.0; HGAP V. 2"	1	1	2	2935598	32.9	2912	2894		"BLOOD"		2013	"SOUTH KOREA"	"KOREA: CHEONJU"						"HUMAN, HOMO SAPIENS"			"BACTEREMIA"											"C"					"WE ANALYZED GENOME SEQUENCE OF VANCOMYCIN-INTERMEDIATE STAPHYLOCOCCUS AUREUS TO FIND ANTIBIOTIC RESISTANCE GENE USING PACBIO SMRT SEQUENCING."	"COLLECTED_BY:KOREAN NATIONAL CULTURE COLLECTION OF PATHOGEN"	100	99.6	100	0.6		"GOOD"	"2016-05-23T22:04:10.395Z"	"2016-05-23T22:04:10.395Z"	
"1280.7245"	"STAPHYLOCOCCUS AUREUS STRAIN V521"		1280	"COMPLETE"	"V521"				"MLST.STAPHYLOCOCCUS_AUREUS.239"				"2016-05-09T00:00:00Z"		"PRJNA300829"	"SAMN04219577"	"GCF_001641025.1"	"SRR2917854"	"CP013957,CP013958"	"NZ_CP013957.1,NZ_CP013958.1"	"CATHOLIC UNIVERSITY OF KOREA"		"PACBIO RS II"	"21-22X"	"SMRT V. 2.3.0; HGAP V. 2"	1	1	2	3114278	32.81	3196	3145		"BLOOD"		2011	"SOUTH KOREA"	"KOREA: CHEONJU"						"HUMAN, HOMO SAPIENS"			"BACTEREMIA"											"C"					"WE ANALYZED GENOME SEQUENCE OF VANCOMYCIN-INTERMEDIATE STAPHYLOCOCCUS AUREUS TO FIND ANTIBIOTIC RESISTANCE GENE USING PACBIO SMRT SEQUENCING."	"COLLECTED_BY:KOREAN CENTERS FOR DISEASE CONTROL AND PREVENTION"	99.9	99.6	100	1.2		"GOOD"	"2016-05-23T22:08:37.633Z"	"2016-05-23T22:08:37.633Z"	
"1280.7246"	"STAPHYLOCOCCUS AUREUS STRAIN V605"		1280	"COMPLETE"	"V605"								"2016-05-09T00:00:00Z"		"PRJNA300829"	"SAMN04219581"	"GCF_001641045.1"	"SRR2917856"	"CP013959,CP013960"		"CATHOLIC UNIVERSITY OF KOREA"		"PACBIO RS II"	"21-22X"	"SMRT V. 2.3.0; HGAP V. 2"	1	1	2	3132482	32.74	3197	3163		"BLOOD"		2011	"SOUTH KOREA"	"KOREA: CHEONJU"						"HUMAN, HOMO SAPIENS"			"BACTEREMIA"											"C"					"WE ANALYZED GENOME SEQUENCE OF VANCOMYCIN-INTERMEDIATE STAPHYLOCOCCUS AUREUS TO FIND ANTIBIOTIC RESISTANCE GENE USING PACBIO SMRT SEQUENCING."	"COLLECTED_BY:KOREAN CENTERS FOR DISEASE CONTROL AND PREVENTION"	99.9	99.6	100	1.8		"GOOD"	"2016-05-23T22:09:15.649Z"	"2016-05-23T22:09:15.649Z"	
"1280.8865"	"STAPHYLOCOCCUS AUREUS STRAIN CU072914"		1280	"WGS"	"CU072914"				"MLST.STAPHYLOCOCCUS_AUREUS.8"				"2016-05-11T00:00:00Z"		"PRJNA320521"	"SAMN04942525"	"GCF_001642105.1"		"LXNN00000000"		"UNIVERSITY OF COLORADO - BOULDER"		"ILLUMINA MISEQ"	"54.0X"	"SPADES V. MAR-2016"		21	166	2989245	32.89	3073	3053		"BLOOD"		2014	"UNITED STATES"	"USA: AURORA, CO"						"HUMAN, HOMO SAPIENS"	"MALE"	"56"	"PYELONEPHRITIS"			"HOST_DESCRIPTION:QUADRIPLEGIA;HOST_DISEASE_OUTCOME:RECOVERY"													"GENOME SEQUENCING OF MULTIDRUG RESISTANT CLINICAL STRAINS FROM THE ORGANISM BANK OF THE UNIVERSITY OF COLORADO HOSPITAL"	"COLLECTED_BY:UNIVERSITY OF COLORADO HOSPITAL CLINICAL MICROBIOLOGY"	99.9	99.6	100			"GOOD"	"2016-07-04T21:04:44.431Z"	"2016-07-04T21:04:44.431Z"	
"1280.8870"	"STAPHYLOCOCCUS AUREUS STRAIN VB26276"		1280	"WGS"	"VB26276"				"MLST.STAPHYLOCOCCUS_AUREUS.772"				"2016-05-26T00:00:00Z"		"PRJNA318841"	"SAMN04868782"	"GCF_001652745.1"		"LWMF00000000"		"CHRISTIAN MEDICAL COLLEGE"		"IONTORRENT"	"55.9X"	"SPADES V. 5.0.0"			95	2821449	32.69	2873	2827		"BLOOD"		2015	"INDIA"	"INDIA:VELLORE"						"HUMAN, HOMO SAPIENS"			"SEPTICEMIA"			"HOST_HEALTH_STATE:TAMIL NADU"													"MULTIPLE SCC MEC TYPES AND HVISA"	"COLLECTED_BY:CMC"	100	99.3	100	0.6		"GOOD"	"2016-07-05T13:55:19.501Z"	"2016-07-05T13:55:19.501Z"	
"1280.8871"	"STAPHYLOCOCCUS AUREUS STRAIN VBV169"		1280	"WGS"	"VBV169"				"MLST.STAPHYLOCOCCUS_AUREUS.672"				"2016-05-26T00:00:00Z"		"PRJNA318844"	"SAMN04868783"	"GCF_001652785.1"		"LWMG00000000"		"CHRISTIAN MEDICAL COLLEGE"		"IONTORRENT"	"49.0X"	"SPADES V. 5.0.0"			86	2856081	32.76	2916	2891		"BLOOD"		2015	"INDIA"	"INDIA:VELLORE"						"HUMAN, HOMO SAPIENS"			"SEPTICEMIA"																"HVISA"	"COLLECTED_BY:CMC"	100	99.7	100	1.2		"GOOD"	"2016-07-05T13:59:26.067Z"	"2016-07-05T13:59:26.067Z"	
"1280974.3"	"ESCHERICHIA COLI HVH 23 (4-6066488)"	"ESCHERICHIA COLI HVH 23 (4-6066488)"	1280974	"WGS"	"HVH 23 (4-6066488)"				"MLST.ESCHERICHIA_COLI_1.1618"		" "		"2013-12-12T00:00:00Z"		"PRJNA186056"	"SAMN01885686"	"GCA_000507605.1"		"AZJK00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"139.0X"	"ALLPATHS V. R47687"			33	5023500	50.6	4821	4607		"BLOOD"		2004	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		98.4	97.2	99.3			"GOOD"	"2014-12-08T22:11:26.717Z"	"2015-03-16T03:17:09.594Z"	
"1280986.3"	"ESCHERICHIA COLI HVH 36 (4-5675286)"	"ESCHERICHIA COLI HVH 36 (4-5675286)"	1280986	"WGS"	"HVH 36 (4-5675286)"				"MLST.ESCHERICHIA_COLI_1.443,MLST.ESCHERICHIA_COLI_2.5"		" "		"2013-11-01T00:00:00Z"		"PRJNA186068"	"SAMN01885698"	"GCA_000494935.1"	"SRR785072,SRR785073,SRR800492,SRR800581"	"AYLQ00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"143.0X"	"ALLPATHS V. R46390"			59	5357747	50.7	5327	5131		"BLOOD"		2004	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.8	98.8	100			"GOOD"	"2014-12-08T22:11:26.843Z"	"2015-03-16T03:17:09.594Z"	
"1280998.3"	"ESCHERICHIA COLI HVH 50 (4-2593475)"	"ESCHERICHIA COLI HVH 50 (4-2593475)"	1280998	"WGS"	"HVH 50 (4-2593475)"				"MLST.ESCHERICHIA_COLI_1.409,MLST.ESCHERICHIA_COLI_2.862"		" "		"2013-10-29T00:00:00Z"		"PRJNA186083"	"SAMN01885710"	"GCA_000488015.1"	"SRR785159,SRR785160,SRR800456,SRR800570"	"AYHF00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"247.0X"	"ALLPATHS V. R46382"			94	5051296	50.9	4930	4864		"BLOOD"		2003	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.4	98.2	99.6	0.4		"GOOD"	"2014-12-08T22:11:26.984Z"	"2015-03-16T03:17:09.594Z"	
"1281020.3"	"ESCHERICHIA COLI HVH 83 (4-2051087)"	"ESCHERICHIA COLI HVH 83 (4-2051087)"	1281020	"WGS"	"HVH 83 (4-2051087)"				"MLST.ESCHERICHIA_COLI_1.73,MLST.ESCHERICHIA_COLI_2.4"		" "		"2013-12-12T00:00:00Z"		"PRJNA186105"	"SAMN01885732"	"GCA_000507625.1"		"AZJL00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"136.0X"	"ALLPATHS V. R47687"			32	5148027	50.5	5009	4789		"BLOOD"		2003	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.9	99	100			"GOOD"	"2014-12-08T22:11:27.193Z"	"2015-03-16T03:17:09.594Z"	
"1281023.3"	"ESCHERICHIA COLI HVH 86 (4-7026218)"	"ESCHERICHIA COLI HVH 86 (4-7026218)"	1281023	"WGS"	"HVH 86 (4-7026218)"				"MLST.ESCHERICHIA_COLI_1.73,MLST.ESCHERICHIA_COLI_2.4"		" "		"2013-11-01T00:00:00Z"		"PRJNA186108"	"SAMN01885735"	"GCA_000494975.1"	"SRR785497,SRR785498,SRR800424,SRR800536"	"AVVH00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"132.0X"	"ALLPATHS V. R46382"			68	5533688	50.4	5476	5225		"BLOOD"		2004	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.7	97.3	100	1.5		"GOOD"	"2014-12-08T22:11:27.220Z"	"2015-03-16T03:17:09.594Z"	
"1281028.3"	"ESCHERICHIA COLI HVH 91 (4-4638751)"	"ESCHERICHIA COLI HVH 91 (4-4638751)"	1281028	"WGS"	"HVH 91 (4-4638751)"				"MLST.ESCHERICHIA_COLI_2.57"		" "		"2013-08-28T00:00:00Z"		"PRJNA186113"	"SAMN01885740"	"GCA_000457305.1"	"SRR785530,SRR785531,SRR800546,SRR800567"	"AVVM00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"263.0X"	"ALLPATHS V. R46382"			93	4626745	50.8	4515	4398		"BLOOD"		2004	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.5	98.7	100	0.4		"GOOD"	"2014-12-08T22:11:27.275Z"	"2015-03-16T03:17:09.594Z"	
"1281029.3"	"ESCHERICHIA COLI HVH 92 (4-5930790)"	"ESCHERICHIA COLI HVH 92 (4-5930790)"	1281029	"WGS"	"HVH 92 (4-5930790)"				"MLST.ESCHERICHIA_COLI_1.73,MLST.ESCHERICHIA_COLI_2.4"		" "		"2013-08-28T00:00:00Z"		"PRJNA186114"	"SAMN01885741"	"GCA_000457325.1"	"SRR785532,SRR785533,SRR800430,SRR800582"	"AVVN00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"252.0X"	"ALLPATHS V. R46382"			71	5287202	50.4	5203	4937		"BLOOD"		2004	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.7	98.7	100			"GOOD"	"2014-12-08T22:11:27.284Z"	"2015-03-16T03:17:09.594Z"	
"1281034.3"	"ESCHERICHIA COLI HVH 98 (4-5799287)"	"ESCHERICHIA COLI HVH 98 (4-5799287)"	1281034	"WGS"	"HVH 98 (4-5799287)"				"MLST.ESCHERICHIA_COLI_1.2480,MLST.ESCHERICHIA_COLI_2.88"		" "		"2013-10-29T00:00:00Z"		"PRJNA186119"	"SAMN01885746"	"GCA_000488035.1"	"SRR785622,SRR785623,SRR800507,SRR800590"	"AYHG00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"234.0X"	"ALLPATHS V. R46390"			61	5089852	50.6	5045	4840		"BLOOD"		2004	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.5	98.4	100	0.4		"GOOD"	"2014-12-08T22:11:27.312Z"	"2015-03-16T03:17:09.594Z"	
"1281141.3"	"ESCHERICHIA COLI HVH 214 (4-3062198)"	"ESCHERICHIA COLI HVH 214 (4-3062198)"	1281141	"WGS"	"HVH 214 (4-3062198)"				"MLST.ESCHERICHIA_COLI_1.95,MLST.ESCHERICHIA_COLI_2.1"		" "		"2013-12-12T00:00:00Z"		"PRJNA186241"	"SAMN01885853"	"GCA_000507665.1"		"AZJN00000000"	"-"	"BROAD INSTITUTE"	"WGS"	"ILLUMINA"	"272.0X"	"ALLPATHS V. R47687"			13	5163474	50.6	5145	4879		"BLOOD"		2003	"DENMARK"	"DENMARK"						"HUMAN, HOMO SAPIENS"																		"URINARY TRACT INFECTION (UTI);BACTEREMIA"	"E COLI UTI BACTEREMIA"		99.9	99	100			"GOOD"	"2014-12-08T22:11:26.593Z"	"2015-03-16T03:17:09.594Z"	
"1282.1160"	"STAPHYLOCOCCUS EPIDERMIDIS STRAIN 8400"		1282	"WGS"	"8400"				"MLST.STAPHYLOCOCCUS_EPIDERMIDIS.114"				"2014-06-12T00:00:00Z"		"PRJNA238030"	"SAMN02640611"	"GCF_000705035.1"		"JMIF01000000"		"IMMH INSTITUTE FOR MEDICAL MICROBIOLOGY AND HYGIENE"		"ILLUMINA MISEQ"	"81.0X"	"CLC GENOMICS WORKBENCH V. 7"			45	2393194	32	2254	2130		"BLOOD CULTURE"		1990	"GERMANY"	"GERMANY"						"HUMAN, HOMO SAPIENS"									"POSITIVE"	"COCCI"	"NO"								"DRAFT GENOME SEQUENCING OF FREQUENTLY USED STAPHYLOCOCCUS EPIDERMIDIS LAB STRAINS"		99.9	99.9	100			"GOOD"	"2016-01-17T15:35:36.299Z"	"2016-01-17T15:35:36.299Z"	
"1282.1166"	"STAPHYLOCOCCUS EPIDERMIDIS STRAIN NGS-ED-1107"		1282	"WGS"	"NGS-ED-1107"				"MLST.STAPHYLOCOCCUS_EPIDERMIDIS.2"				"2015-03-31T00:00:00Z"	"25977439"	"PRJNA255947"	"SAMN03396260"	"GCF_000966705.1"		"JZUK01000000"		"CORK INSTITUTE OF TECHNOLOGY"		"ILLUMINA MISEQ"	"200.0X"	"SPADES V. FEB-2015"			53	2689903	31.93	2657			"BLOOD"		2013	"UNITED KINGDOM"	"UNITED KINGDOM: EDINBURGH, ROYAL INFIRMARY EDINBURGH, NEONATAL UNIT"						"HUMAN, HOMO SAPIENS"		"NEONATAL"	"BLOOD SEPSIS"																"CLOUDX-I IS A MAJOR RESEARCH PROJECT CONCERNED WITH DEVELOPING HOST PATHOGEN RESPONSE BIOMARKERS FOR INFECTION AND IS FUNDED UNDER THE EU FP7 MARIE CURIE ACTIONS IAPP PROGRAM. INFECTION IS A LEADING CAUSE OF MORBIDITY WORLDWIDE AND INCURS HUGE ECONOMIC COSTS FOR BOTH PATIENT DIAGNOSIS AND HOSPITALISATION. TRADITIONAL WET-LAB CULTURE TECHNIQUES OFTEN DO NOT RECOGNISE PARTICULAR BACTERIAL STRAINS SUCH AS THE RECENTLY IDENTIFIED CAMPYLOBACTER UREOLYTICUS NOR DO THEY INCORPORATE THE RESULTING HOST RESPONSE. IN SILICO MOLECULAR DETECTION METHODS FLAG SUCH BIOMARKERS AND CAN FACILITATE RAPID, EFFICIENT AND ACCURATE DIAGNOSIS. MAJOR CHALLENGES IN THE WIDESPREAD ADOPTION OF SUCH TECHNIQUES EXIST DUE TO INTER ALIA THEIR COMPLEX COMPUTATIONAL CHARACTERISTICS, THE NEED FOR SOFTWARE TOOLS THAT ARE USABLE FOR BOTH RESEARCHERS AND CLINICIANS AND THE NEED FOR SOFTWARE SOLUTIONS THAT ARE SECURE AND AUDITABLE, PROVIDING FULL TRACEABILITY AND PROVENANCE OF DATA. THEREFORE, THE PRINCIPAL SCIENTIFIC & TECHNOLOGICAL OBJECTIVE IS TO DEVELOP IN SILICO TECHNIQUES THAT CAN SUPPORT RAPID MOLECULAR DIAGNOSIS OF INFECTION AND TO EMBED THESE TECHNIQUES IN AN AFFICIENT, USABLE, AUDITABLE AND SECURE END TO END DIAGNOSTIC PROCESS."	"COLLECTED_BY:KAI KROPP;PASSAGE_HISTORY:>3 PASSAGES"	99.9	99.9	100			"GOOD"	"2016-01-17T15:52:17.233Z"	"2016-01-17T15:52:17.233Z"	
"1282.1167"	"STAPHYLOCOCCUS EPIDERMIDIS STRAIN NGS-ED-1109"		1282	"WGS"	"NGS-ED-1109"				"MLST.STAPHYLOCOCCUS_EPIDERMIDIS.439"				"2015-03-31T00:00:00Z"	"25977439"	"PRJNA255947"	"SAMN03396204"	"GCF_000966715.1"		"JZUL01000000"		"CORK INSTITUTE OF TECHNOLOGY"		"ILLUMINA MISEQ"	"200.0X"	"SPADES V. FEB-2015"			51	2583523	31.84	2470			"BLOOD"		2013	"UNITED KINGDOM"	"UNITED KINGDOM: EDINBURGH, ROYAL INFIRMARY EDINBURGH, NEONATAL UNIT"						"HUMAN, HOMO SAPIENS"		"NEONATE"	"BLOOD SEPSIS"			"HOST_HEALTH_STATE:SICK"													"CLOUDX-I IS A MAJOR RESEARCH PROJECT CONCERNED WITH DEVELOPING HOST PATHOGEN RESPONSE BIOMARKERS FOR INFECTION AND IS FUNDED UNDER THE EU FP7 MARIE CURIE ACTIONS IAPP PROGRAM. INFECTION IS A LEADING CAUSE OF MORBIDITY WORLDWIDE AND INCURS HUGE ECONOMIC COSTS FOR BOTH PATIENT DIAGNOSIS AND HOSPITALISATION. TRADITIONAL WET-LAB CULTURE TECHNIQUES OFTEN DO NOT RECOGNISE PARTICULAR BACTERIAL STRAINS SUCH AS THE RECENTLY IDENTIFIED CAMPYLOBACTER UREOLYTICUS NOR DO THEY INCORPORATE THE RESULTING HOST RESPONSE. IN SILICO MOLECULAR DETECTION METHODS FLAG SUCH BIOMARKERS AND CAN FACILITATE RAPID, EFFICIENT AND ACCURATE DIAGNOSIS. MAJOR CHALLENGES IN THE WIDESPREAD ADOPTION OF SUCH TECHNIQUES EXIST DUE TO INTER ALIA THEIR COMPLEX COMPUTATIONAL CHARACTERISTICS, THE NEED FOR SOFTWARE TOOLS THAT ARE USABLE FOR BOTH RESEARCHERS AND CLINICIANS AND THE NEED FOR SOFTWARE SOLUTIONS THAT ARE SECURE AND AUDITABLE, PROVIDING FULL TRACEABILITY AND PROVENANCE OF DATA. THEREFORE, THE PRINCIPAL SCIENTIFIC & TECHNOLOGICAL OBJECTIVE IS TO DEVELOP IN SILICO TECHNIQUES THAT CAN SUPPORT RAPID MOLECULAR DIAGNOSIS OF INFECTION AND TO EMBED THESE TECHNIQUES IN AN AFFICIENT, USABLE, AUDITABLE AND SECURE END TO END DIAGNOSTIC PROCESS."	"COLLECTED_BY:KAI KROPP;PASSAGE_HISTORY:> 3 PASSAGES"	99.9	99.9	100			"GOOD"	"2016-01-17T15:52:17.632Z"	"2016-01-17T15:52:17.632Z"	
"1282.1168"	"STAPHYLOCOCCUS EPIDERMIDIS STRAIN NGS-ED-1111"		1282	"WGS"	"NGS-ED-1111"				"MLST.STAPHYLOCOCCUS_EPIDERMIDIS.2"				"2015-03-31T00:00:00Z"	"25977439"	"PRJNA255947"	"SAMN03396287"	"GCF_000966755.1"		"JZUN01000000"		"CORK INSTITUTE OF TECHNOLOGY"		"ILLUMINA MISEQ"	"200.0X"	"SPADES V. FEB-2015"			44	2711590	31.99	2684			"BLOOD"		2013	"UNITED KINGDOM"	"UNITED KINGDOM: EDINBURGH, ROYAL INFIRMARY EDINBURGH, NEONATAL UNIT"						"HUMAN, HOMO SAPIENS"		"NEONATE"	"BLOOD SEPSIS"																"CLOUDX-I IS A MAJOR RESEARCH PROJECT CONCERNED WITH DEVELOPING HOST PATHOGEN RESPONSE BIOMARKERS FOR INFECTION AND IS FUNDED UNDER THE EU FP7 MARIE CURIE ACTIONS IAPP PROGRAM. INFECTION IS A LEADING CAUSE OF MORBIDITY WORLDWIDE AND INCURS HUGE ECONOMIC COSTS FOR BOTH PATIENT DIAGNOSIS AND HOSPITALISATION. TRADITIONAL WET-LAB CULTURE TECHNIQUES OFTEN DO NOT RECOGNISE PARTICULAR BACTERIAL STRAINS SUCH AS THE RECENTLY IDENTIFIED CAMPYLOBACTER UREOLYTICUS NOR DO THEY INCORPORATE THE RESULTING HOST RESPONSE. IN SILICO MOLECULAR DETECTION METHODS FLAG SUCH BIOMARKERS AND CAN FACILITATE RAPID, EFFICIENT AND ACCURATE DIAGNOSIS. MAJOR CHALLENGES IN THE WIDESPREAD ADOPTION OF SUCH TECHNIQUES EXIST DUE TO INTER ALIA THEIR COMPLEX COMPUTATIONAL CHARACTERISTICS, THE NEED FOR SOFTWARE TOOLS THAT ARE USABLE FOR BOTH RESEARCHERS AND CLINICIANS AND THE NEED FOR SOFTWARE SOLUTIONS THAT ARE SECURE AND AUDITABLE, PROVIDING FULL TRACEABILITY AND PROVENANCE OF DATA. THEREFORE, THE PRINCIPAL SCIENTIFIC & TECHNOLOGICAL OBJECTIVE IS TO DEVELOP IN SILICO TECHNIQUES THAT CAN SUPPORT RAPID MOLECULAR DIAGNOSIS OF INFECTION AND TO EMBED THESE TECHNIQUES IN AN AFFICIENT, USABLE, AUDITABLE AND SECURE END TO END DIAGNOSTIC PROCESS."	"COLLECTED_BY:KAI KROPP"	99.9	99.9	100			"GOOD"	"2016-01-17T15:52:18.053Z"	"2016-01-17T15:52:18.053Z"	
